State,Scale_Score,Social_Score,Employment_Score,Industry_Score,Final_MSME_Score,Category
ANDHRA PRADESH,69.65,43.75,42.71,33.33,47.36,Emerging
ARUNACHAL PRADESH,35.63,68.75,45.87,33.33,45.9,Emerging
ASSAM,65.07,18.75,49.35,33.33,41.62,Emerging
BIHAR,24.04,6.25,12.93,100.0,35.8,Emerging
CHANDIGARH,40.1,6.25,28.7,100.0,43.76,Emerging
CHHATTISGARH,11.59,31.25,8.55,33.33,21.18,Nascent
DADAR AND NAGAR HAVELI,54.0,0.0,44.63,100.0,49.66,Emerging
DAMAN AND DIU,79.39,12.5,40.69,66.67,49.81,Emerging
DELHI,74.84,12.5,100.0,100.0,71.84,Developing
GOA,67.85,12.5,39.28,66.67,46.58,Emerging
GUJARAT,46.27,0.0,33.94,100.0,45.05,Emerging
HARYANA,80.29,18.75,42.05,66.67,51.94,Developing
HIMACHAL PRADESH,44.73,25.0,49.35,100.0,54.77,Developing
JAMMU AND KASHMIR,63.69,18.75,36.32,66.67,46.36,Emerging
JHARKHAND,44.99,0.0,27.76,100.0,43.19,Emerging
KARNATAKA,52.67,12.5,47.65,66.67,44.87,Emerging
KERALA,60.84,6.25,33.11,100.0,50.05,Developing
LAKSHADWEEP,26.8,62.5,49.35,100.0,59.66,Developing
MADHYA PRADESH,22.23,12.5,18.1,33.33,21.54,Nascent
MAHARASHTRA,37.44,12.5,21.59,100.0,42.88,Emerging
MANIPUR,39.13,50.0,65.59,33.33,47.01,Emerging
MEGHALAYA,72.28,56.25,40.69,66.67,58.97,Developing
MIZORAM,73.72,100.0,53.07,0.0,56.7,Developing
NAGALAND,59.82,50.0,58.29,100.0,67.03,Developing
ODISHA,64.95,6.25,44.63,100.0,53.96,Developing
PUDUCHERRY,22.23,12.5,6.98,33.33,18.76,Nascent
PUNJAB,65.67,0.0,74.82,100.0,60.12,Developing
RAJASTHAN,100.0,6.25,79.54,66.67,63.12,Developing
SIKKIM,65.44,18.75,50.45,100.0,58.66,Developing
TAMIL NADU,49.33,18.75,46.47,100.0,53.64,Developing
TELANGANA,94.74,31.25,76.27,100.0,75.56,Advanced
TRIPURA,45.76,6.25,47.65,33.33,33.25,Emerging
UTTAR PRADESH,32.87,6.25,45.87,66.67,37.92,Emerging
UTTARAKHAND,8.62,25.0,0.0,66.67,25.07,Emerging
WEST BENGAL,0.0,6.25,14.29,100.0,30.14,Emerging
